11-24 05:43:15: New best reward: 240.0 (+5.3%) at episode 1029, saving model...
11-24 05:43:16: New best reward: 278.0 (+15.8%) at episode 1071, saving model...
11-24 05:43:19: New best reward: 338.0 (+21.6%) at episode 1147, saving model...
11-24 05:43:21: New best reward: 340.0 (+0.6%) at episode 1217, saving model...
11-24 05:43:24: New best reward: 360.0 (+5.9%) at episode 1291, saving model...
11-24 05:43:26: New best reward: 456.0 (+26.7%) at episode 1330, saving model...
11-24 05:43:26: New best reward: 500.0 (+9.6%) at episode 1334, saving model...
11-24 05:50:01: Seed: 48939
11-24 05:50:01: Starting training with 2 layer(s)... (cartpole1-linear16)
11-24 05:50:01: New best reward: 10.0 (-1100.0%) at episode 0, saving model...
11-24 05:50:01: New best reward: 26.0 (+160.0%) at episode 1, saving model...
11-24 05:50:01: New best reward: 28.0 (+7.7%) at episode 2, saving model...
11-24 05:50:01: New best reward: 43.0 (+53.6%) at episode 4, saving model...
11-24 05:50:02: New best reward: 47.0 (+9.3%) at episode 52, saving model...
11-24 05:50:02: New best reward: 69.0 (+46.8%) at episode 57, saving model...
11-24 05:50:02: New best reward: 74.0 (+7.2%) at episode 135, saving model...
11-24 05:50:03: New best reward: 93.0 (+25.7%) at episode 185, saving model...
11-24 05:50:04: New best reward: 97.0 (+4.3%) at episode 302, saving model...
11-24 05:50:04: New best reward: 112.0 (+15.5%) at episode 392, saving model...
11-24 05:50:07: New best reward: 126.0 (+12.5%) at episode 602, saving model...
11-24 05:50:08: New best reward: 127.0 (+0.8%) at episode 721, saving model...
11-24 05:50:09: New best reward: 228.0 (+79.5%) at episode 759, saving model...
11-24 05:50:11: New best reward: 234.0 (+2.6%) at episode 846, saving model...
11-24 05:50:16: New best reward: 242.0 (+3.4%) at episode 1052, saving model...
11-24 05:50:19: New best reward: 274.0 (+13.2%) at episode 1142, saving model...
11-24 05:50:23: New best reward: 293.0 (+6.9%) at episode 1235, saving model...
11-24 05:50:28: New best reward: 362.0 (+23.5%) at episode 1357, saving model...
11-24 05:50:31: New best reward: 394.0 (+8.8%) at episode 1405, saving model...
11-24 05:50:35: New best reward: 395.0 (+0.3%) at episode 1478, saving model...
11-24 05:50:39: New best reward: 403.0 (+2.0%) at episode 1562, saving model...
11-24 05:50:42: New best reward: 421.0 (+4.5%) at episode 1608, saving model...
11-24 05:50:56: New best reward: 470.0 (+11.6%) at episode 1826, saving model...
11-24 05:50:59: New best reward: 500.0 (+6.4%) at episode 1860, saving model...
11-24 06:34:33: Seed: 12657
11-24 06:34:33: Starting training with 2 layer(s)... (cartpole1-linear16)
11-24 06:34:33: New best reward: 16.0 (-1700.0%) at episode 0, saving model...
11-24 06:34:33: New best reward: 19.0 (+18.8%) at episode 1, saving model...
11-24 06:34:33: New best reward: 26.0 (+36.8%) at episode 3, saving model...
11-24 06:34:33: New best reward: 28.0 (+7.7%) at episode 12, saving model...
11-24 06:34:33: New best reward: 32.0 (+14.3%) at episode 18, saving model...
11-24 06:34:33: New best reward: 33.0 (+3.1%) at episode 23, saving model...
11-24 06:34:33: New best reward: 41.0 (+24.2%) at episode 33, saving model...
11-24 06:34:33: New best reward: 79.0 (+92.7%) at episode 74, saving model...
11-24 06:34:34: New best reward: 105.0 (+32.9%) at episode 207, saving model...
11-24 06:34:35: New best reward: 106.0 (+1.0%) at episode 237, saving model...
11-24 06:34:37: New best reward: 110.0 (+3.8%) at episode 445, saving model...
11-24 06:34:37: New best reward: 119.0 (+8.2%) at episode 485, saving model...
11-24 06:34:38: New best reward: 129.0 (+8.4%) at episode 566, saving model...
11-24 06:34:39: New best reward: 146.0 (+13.2%) at episode 615, saving model...
11-24 06:34:40: New best reward: 172.0 (+17.8%) at episode 715, saving model...
11-24 06:34:42: New best reward: 207.0 (+20.3%) at episode 788, saving model...
11-24 06:34:43: New best reward: 222.0 (+7.2%) at episode 849, saving model...
11-24 06:34:46: New best reward: 258.0 (+16.2%) at episode 965, saving model...
11-24 06:34:49: New best reward: 346.0 (+34.1%) at episode 1057, saving model...
11-24 06:34:50: New best reward: 500.0 (+44.5%) at episode 1118, saving model...
11-24 06:40:00: Seed: 54629
11-24 06:40:00: Starting training with 2 layer(s)... (cartpole1-linear16)
11-24 06:40:00: New best reward: 13.0 (-1400.0%) at episode 0, saving model...
